#TRO-Keyword;ID(long);Code;ModelCode;OriginCode;DestinationCode;AvailableDateOrigin;DesignatedPathCode;DueDateDestinaton;
#TRONXT-Keyword;TransportObjectCode;NextDispatchSiteCode;NextDispatchSiteArrivalDate;
#TROPTH-Keyword;TransportObjectCode;OptionIndex;PathCode;
TRO;1;veh0000000000001;Standard;GER01PLANT;FRA01DEAL;02/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;14/06/2025-00:00:00;
TRO;73;veh0000000000073;Standard;GER01PLANT;FRA01DEAL;13/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;26/06/2025-00:00:00;
TRONXT;veh0000000000073;GER01PLANT;13/06/2025-00:00:00;
TROPTH;veh0000000000073;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000073;2;GER01PLANT->FRA01DEAL-278;
TRO;74;veh0000000000074;Standard;GER01PLANT;FRA01DEAL;13/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;23/06/2025-00:00:00;
TRONXT;veh0000000000074;GER01PLANT;13/06/2025-00:00:00;
TROPTH;veh0000000000074;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000074;2;GER01PLANT->FRA01DEAL-278;
TRO;75;veh0000000000075;Standard;GER01PLANT;FRA01DEAL;13/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;22/06/2025-00:00:00;
TRONXT;veh0000000000075;GER01PLANT;13/06/2025-00:00:00;
TROPTH;veh0000000000075;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000075;2;GER01PLANT->FRA01DEAL-278;
TRO;76;veh0000000000076;Standard;GER01PLANT;FRA01DEAL;13/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;20/06/2025-00:00:00;
TRONXT;veh0000000000076;GER01PLANT;13/06/2025-00:00:00;
TROPTH;veh0000000000076;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000076;2;GER01PLANT->FRA01DEAL-278;
TRO;77;veh0000000000077;Standard;GER01PLANT;FRA01DEAL;13/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;25/06/2025-00:00:00;
TRONXT;veh0000000000077;GER01PLANT;13/06/2025-00:00:00;
TROPTH;veh0000000000077;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000077;2;GER01PLANT->FRA01DEAL-278;
TRO;78;veh0000000000078;Standard;GER01PLANT;FRA01DEAL;13/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;26/06/2025-00:00:00;
TRONXT;veh0000000000078;GER01PLANT;13/06/2025-00:00:00;
TROPTH;veh0000000000078;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000078;2;GER01PLANT->FRA01DEAL-278;
TRO;79;veh0000000000079;Standard;GER01PLANT;FRA01DEAL;13/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;21/06/2025-00:00:00;
TRONXT;veh0000000000079;GER01PLANT;13/06/2025-00:00:00;
TROPTH;veh0000000000079;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000079;2;GER01PLANT->FRA01DEAL-278;
TRO;80;veh0000000000080;Standard;GER01PLANT;FRA01DEAL;13/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;26/06/2025-00:00:00;
TRONXT;veh0000000000080;GER01PLANT;13/06/2025-00:00:00;
TROPTH;veh0000000000080;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000080;2;GER01PLANT->FRA01DEAL-278;
TRO;81;veh0000000000081;Standard;GER01PLANT;FRA01DEAL;16/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;23/06/2025-00:00:00;
TRONXT;veh0000000000081;GER01PLANT;16/06/2025-00:00:00;
TROPTH;veh0000000000081;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000081;2;GER01PLANT->FRA01DEAL-278;
TRO;82;veh0000000000082;Standard;GER01PLANT;FRA01DEAL;16/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;26/06/2025-00:00:00;
TRONXT;veh0000000000082;GER01PLANT;16/06/2025-00:00:00;
TROPTH;veh0000000000082;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000082;2;GER01PLANT->FRA01DEAL-278;
TRO;83;veh0000000000083;Standard;GER01PLANT;FRA01DEAL;16/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;01/07/2025-00:00:00;
TRONXT;veh0000000000083;GER01PLANT;16/06/2025-00:00:00;
TROPTH;veh0000000000083;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000083;2;GER01PLANT->FRA01DEAL-278;
TRO;84;veh0000000000084;Standard;GER01PLANT;FRA01DEAL;16/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;27/06/2025-00:00:00;
TRONXT;veh0000000000084;GER01PLANT;16/06/2025-00:00:00;
TROPTH;veh0000000000084;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000084;2;GER01PLANT->FRA01DEAL-278;
TRO;85;veh0000000000085;Standard;GER01PLANT;FRA01DEAL;16/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;30/06/2025-00:00:00;
TRONXT;veh0000000000085;GER01PLANT;16/06/2025-00:00:00;
TROPTH;veh0000000000085;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000085;2;GER01PLANT->FRA01DEAL-278;
TRO;86;veh0000000000086;Standard;GER01PLANT;FRA01DEAL;16/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;25/06/2025-00:00:00;
TRONXT;veh0000000000086;GER01PLANT;16/06/2025-00:00:00;
TROPTH;veh0000000000086;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000086;2;GER01PLANT->FRA01DEAL-278;
TRO;87;veh0000000000087;Standard;GER01PLANT;FRA01DEAL;16/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;23/06/2025-00:00:00;
TRONXT;veh0000000000087;GER01PLANT;16/06/2025-00:00:00;
TROPTH;veh0000000000087;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000087;2;GER01PLANT->FRA01DEAL-278;
TRO;88;veh0000000000088;Standard;GER01PLANT;FRA01DEAL;16/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;23/06/2025-00:00:00;
TRONXT;veh0000000000088;GER01PLANT;16/06/2025-00:00:00;
TROPTH;veh0000000000088;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000088;2;GER01PLANT->FRA01DEAL-278;
TRO;89;veh0000000000089;Standard;GER01PLANT;FRA01DEAL;16/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;25/06/2025-00:00:00;
TRONXT;veh0000000000089;GER01PLANT;16/06/2025-00:00:00;
TROPTH;veh0000000000089;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000089;2;GER01PLANT->FRA01DEAL-278;
TRO;90;veh0000000000090;Standard;GER01PLANT;FRA01DEAL;16/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;22/06/2025-00:00:00;
TRONXT;veh0000000000090;GER01PLANT;16/06/2025-00:00:00;
TROPTH;veh0000000000090;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000090;2;GER01PLANT->FRA01DEAL-278;
TRO;91;veh0000000000091;Standard;GER01PLANT;FRA01DEAL;17/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;30/06/2025-00:00:00;
TRONXT;veh0000000000091;GER01PLANT;17/06/2025-00:00:00;
TROPTH;veh0000000000091;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000091;2;GER01PLANT->FRA01DEAL-278;
TRO;92;veh0000000000092;Standard;GER01PLANT;FRA01DEAL;17/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;01/07/2025-00:00:00;
TRONXT;veh0000000000092;GER01PLANT;17/06/2025-00:00:00;
TROPTH;veh0000000000092;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000092;2;GER01PLANT->FRA01DEAL-278;
TRO;93;veh0000000000093;Standard;GER01PLANT;FRA01DEAL;17/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;28/06/2025-00:00:00;
TRONXT;veh0000000000093;GER01PLANT;17/06/2025-00:00:00;
TROPTH;veh0000000000093;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000093;2;GER01PLANT->FRA01DEAL-278;
TRO;94;veh0000000000094;Standard;GER01PLANT;FRA01DEAL;17/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;25/06/2025-00:00:00;
TRONXT;veh0000000000094;GER01PLANT;17/06/2025-00:00:00;
TROPTH;veh0000000000094;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000094;2;GER01PLANT->FRA01DEAL-278;
TRO;95;veh0000000000095;Standard;GER01PLANT;FRA01DEAL;17/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;25/06/2025-00:00:00;
TRONXT;veh0000000000095;GER01PLANT;17/06/2025-00:00:00;
TROPTH;veh0000000000095;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000095;2;GER01PLANT->FRA01DEAL-278;
TRO;96;veh0000000000096;Standard;GER01PLANT;FRA01DEAL;18/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;27/06/2025-00:00:00;
TRONXT;veh0000000000096;GER01PLANT;18/06/2025-00:00:00;
TROPTH;veh0000000000096;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000096;2;GER01PLANT->FRA01DEAL-278;
TRO;97;veh0000000000097;Standard;GER01PLANT;FRA01DEAL;18/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;29/06/2025-00:00:00;
TRONXT;veh0000000000097;GER01PLANT;18/06/2025-00:00:00;
TROPTH;veh0000000000097;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000097;2;GER01PLANT->FRA01DEAL-278;
TRO;98;veh0000000000098;Standard;GER01PLANT;FRA01DEAL;18/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;02/07/2025-00:00:00;
TRONXT;veh0000000000098;GER01PLANT;18/06/2025-00:00:00;
TROPTH;veh0000000000098;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000098;2;GER01PLANT->FRA01DEAL-278;
TRO;99;veh0000000000099;Standard;GER01PLANT;FRA01DEAL;18/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;26/06/2025-00:00:00;
TRONXT;veh0000000000099;GER01PLANT;18/06/2025-00:00:00;
TROPTH;veh0000000000099;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000099;2;GER01PLANT->FRA01DEAL-278;
TRO;100;veh0000000000100;Standard;GER01PLANT;FRA01DEAL;18/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;27/06/2025-00:00:00;
TRONXT;veh0000000000100;GER01PLANT;18/06/2025-00:00:00;
TROPTH;veh0000000000100;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000100;2;GER01PLANT->FRA01DEAL-278;
TRO;101;veh0000000000101;Standard;GER01PLANT;FRA01DEAL;19/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;27/06/2025-00:00:00;
TRONXT;veh0000000000101;GER01PLANT;19/06/2025-00:00:00;
TROPTH;veh0000000000101;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000101;2;GER01PLANT->FRA01DEAL-278;
TRO;102;veh0000000000102;Standard;GER01PLANT;FRA01DEAL;19/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;29/06/2025-00:00:00;
TRONXT;veh0000000000102;GER01PLANT;19/06/2025-00:00:00;
TROPTH;veh0000000000102;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000102;2;GER01PLANT->FRA01DEAL-278;
TRO;103;veh0000000000103;Standard;GER01PLANT;FRA01DEAL;19/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;24/06/2025-00:00:00;
TRONXT;veh0000000000103;GER01PLANT;19/06/2025-00:00:00;
TROPTH;veh0000000000103;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000103;2;GER01PLANT->FRA01DEAL-278;
TRO;104;veh0000000000104;Standard;GER01PLANT;FRA01DEAL;19/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;27/06/2025-00:00:00;
TRONXT;veh0000000000104;GER01PLANT;19/06/2025-00:00:00;
TROPTH;veh0000000000104;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000104;2;GER01PLANT->FRA01DEAL-278;
TRO;105;veh0000000000105;Standard;GER01PLANT;FRA01DEAL;19/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;03/07/2025-00:00:00;
TRONXT;veh0000000000105;GER01PLANT;19/06/2025-00:00:00;
TROPTH;veh0000000000105;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000105;2;GER01PLANT->FRA01DEAL-278;
TRO;106;veh0000000000106;Standard;GER01PLANT;FRA01DEAL;19/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;26/06/2025-00:00:00;
TRONXT;veh0000000000106;GER01PLANT;19/06/2025-00:00:00;
TROPTH;veh0000000000106;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000106;2;GER01PLANT->FRA01DEAL-278;
TRO;107;veh0000000000107;Standard;GER01PLANT;FRA01DEAL;19/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;30/06/2025-00:00:00;
TRONXT;veh0000000000107;GER01PLANT;19/06/2025-00:00:00;
TROPTH;veh0000000000107;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000107;2;GER01PLANT->FRA01DEAL-278;
TRO;108;veh0000000000108;Standard;GER01PLANT;FRA01DEAL;19/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;29/06/2025-00:00:00;
TRONXT;veh0000000000108;GER01PLANT;19/06/2025-00:00:00;
TROPTH;veh0000000000108;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000108;2;GER01PLANT->FRA01DEAL-278;
TRO;109;veh0000000000109;Standard;GER01PLANT;FRA01DEAL;19/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;25/06/2025-00:00:00;
TRONXT;veh0000000000109;GER01PLANT;19/06/2025-00:00:00;
TROPTH;veh0000000000109;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000109;2;GER01PLANT->FRA01DEAL-278;
TRO;110;veh0000000000110;Standard;GER01PLANT;FRA01DEAL;19/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;30/06/2025-00:00:00;
TRONXT;veh0000000000110;GER01PLANT;19/06/2025-00:00:00;
TROPTH;veh0000000000110;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000110;2;GER01PLANT->FRA01DEAL-278;
TRO;111;veh0000000000111;Standard;GER01PLANT;FRA01DEAL;20/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;01/07/2025-00:00:00;
TRONXT;veh0000000000111;GER01PLANT;20/06/2025-00:00:00;
TROPTH;veh0000000000111;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000111;2;GER01PLANT->FRA01DEAL-278;
TRO;112;veh0000000000112;Standard;GER01PLANT;FRA01DEAL;20/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;03/07/2025-00:00:00;
TRONXT;veh0000000000112;GER01PLANT;20/06/2025-00:00:00;
TROPTH;veh0000000000112;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000112;2;GER01PLANT->FRA01DEAL-278;
TRO;113;veh0000000000113;Standard;GER01PLANT;FRA01DEAL;20/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;27/06/2025-00:00:00;
TRONXT;veh0000000000113;GER01PLANT;20/06/2025-00:00:00;
TROPTH;veh0000000000113;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000113;2;GER01PLANT->FRA01DEAL-278;
TRO;114;veh0000000000114;Standard;GER01PLANT;FRA01DEAL;20/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;02/07/2025-00:00:00;
TRONXT;veh0000000000114;GER01PLANT;20/06/2025-00:00:00;
TROPTH;veh0000000000114;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000114;2;GER01PLANT->FRA01DEAL-278;
TRO;115;veh0000000000115;Standard;GER01PLANT;FRA01DEAL;20/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;01/07/2025-00:00:00;
TRONXT;veh0000000000115;GER01PLANT;20/06/2025-00:00:00;
TROPTH;veh0000000000115;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000115;2;GER01PLANT->FRA01DEAL-278;
TRO;116;veh0000000000116;Standard;GER01PLANT;FRA01DEAL;20/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;01/07/2025-00:00:00;
TRONXT;veh0000000000116;GER01PLANT;20/06/2025-00:00:00;
TROPTH;veh0000000000116;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000116;2;GER01PLANT->FRA01DEAL-278;
TRO;117;veh0000000000117;Standard;GER01PLANT;FRA01DEAL;20/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;28/06/2025-00:00:00;
TRONXT;veh0000000000117;GER01PLANT;20/06/2025-00:00:00;
TROPTH;veh0000000000117;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000117;2;GER01PLANT->FRA01DEAL-278;
TRO;118;veh0000000000118;Standard;GER01PLANT;FRA01DEAL;20/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;27/06/2025-00:00:00;
TRONXT;veh0000000000118;GER01PLANT;20/06/2025-00:00:00;
TROPTH;veh0000000000118;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000118;2;GER01PLANT->FRA01DEAL-278;
TRO;119;veh0000000000119;Standard;GER01PLANT;FRA01DEAL;20/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;28/06/2025-00:00:00;
TRONXT;veh0000000000119;GER01PLANT;20/06/2025-00:00:00;
TROPTH;veh0000000000119;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000119;2;GER01PLANT->FRA01DEAL-278;
TRO;120;veh0000000000120;Standard;GER01PLANT;FRA01DEAL;20/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;30/06/2025-00:00:00;
TRONXT;veh0000000000120;GER01PLANT;20/06/2025-00:00:00;
TROPTH;veh0000000000120;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000120;2;GER01PLANT->FRA01DEAL-278;
TRO;121;veh0000000000121;Standard;GER01PLANT;FRA01DEAL;23/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;01/07/2025-00:00:00;
TRONXT;veh0000000000121;GER01PLANT;23/06/2025-00:00:00;
TROPTH;veh0000000000121;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000121;2;GER01PLANT->FRA01DEAL-278;
TRO;122;veh0000000000122;Standard;GER01PLANT;FRA01DEAL;23/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;05/07/2025-00:00:00;
TRONXT;veh0000000000122;GER01PLANT;23/06/2025-00:00:00;
TROPTH;veh0000000000122;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000122;2;GER01PLANT->FRA01DEAL-278;
TRO;123;veh0000000000123;Standard;GER01PLANT;FRA01DEAL;23/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;01/07/2025-00:00:00;
TRONXT;veh0000000000123;GER01PLANT;23/06/2025-00:00:00;
TROPTH;veh0000000000123;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000123;2;GER01PLANT->FRA01DEAL-278;
TRO;124;veh0000000000124;Standard;GER01PLANT;FRA01DEAL;23/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;01/07/2025-00:00:00;
TRONXT;veh0000000000124;GER01PLANT;23/06/2025-00:00:00;
TROPTH;veh0000000000124;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000124;2;GER01PLANT->FRA01DEAL-278;
TRO;125;veh0000000000125;Standard;GER01PLANT;FRA01DEAL;23/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;02/07/2025-00:00:00;
TRONXT;veh0000000000125;GER01PLANT;23/06/2025-00:00:00;
TROPTH;veh0000000000125;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000125;2;GER01PLANT->FRA01DEAL-278;
TRO;126;veh0000000000126;Standard;GER01PLANT;FRA01DEAL;23/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;02/07/2025-00:00:00;
TRONXT;veh0000000000126;GER01PLANT;23/06/2025-00:00:00;
TROPTH;veh0000000000126;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000126;2;GER01PLANT->FRA01DEAL-278;
TRO;127;veh0000000000127;Standard;GER01PLANT;FRA01DEAL;23/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;05/07/2025-00:00:00;
TRONXT;veh0000000000127;GER01PLANT;23/06/2025-00:00:00;
TROPTH;veh0000000000127;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000127;2;GER01PLANT->FRA01DEAL-278;
TRO;128;veh0000000000128;Standard;GER01PLANT;FRA01DEAL;23/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;02/07/2025-00:00:00;
TRONXT;veh0000000000128;GER01PLANT;23/06/2025-00:00:00;
TROPTH;veh0000000000128;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000128;2;GER01PLANT->FRA01DEAL-278;
TRO;129;veh0000000000129;Standard;GER01PLANT;FRA01DEAL;23/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;30/06/2025-00:00:00;
TRONXT;veh0000000000129;GER01PLANT;23/06/2025-00:00:00;
TROPTH;veh0000000000129;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000129;2;GER01PLANT->FRA01DEAL-278;
TRO;130;veh0000000000130;Standard;GER01PLANT;FRA01DEAL;23/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;29/06/2025-00:00:00;
TRONXT;veh0000000000130;GER01PLANT;23/06/2025-00:00:00;
TROPTH;veh0000000000130;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000130;2;GER01PLANT->FRA01DEAL-278;
TRO;131;veh0000000000131;Standard;GER01PLANT;FRA01DEAL;24/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;29/06/2025-00:00:00;
TRONXT;veh0000000000131;GER01PLANT;24/06/2025-00:00:00;
TROPTH;veh0000000000131;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000131;2;GER01PLANT->FRA01DEAL-278;
TRO;132;veh0000000000132;Standard;GER01PLANT;FRA01DEAL;24/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;06/07/2025-00:00:00;
TRONXT;veh0000000000132;GER01PLANT;24/06/2025-00:00:00;
TROPTH;veh0000000000132;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000132;2;GER01PLANT->FRA01DEAL-278;
TRO;133;veh0000000000133;Standard;GER01PLANT;FRA01DEAL;24/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;06/07/2025-00:00:00;
TRONXT;veh0000000000133;GER01PLANT;24/06/2025-00:00:00;
TROPTH;veh0000000000133;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000133;2;GER01PLANT->FRA01DEAL-278;
TRO;134;veh0000000000134;Standard;GER01PLANT;FRA01DEAL;24/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;03/07/2025-00:00:00;
TRONXT;veh0000000000134;GER01PLANT;24/06/2025-00:00:00;
TROPTH;veh0000000000134;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000134;2;GER01PLANT->FRA01DEAL-278;
TRO;135;veh0000000000135;Standard;GER01PLANT;FRA01DEAL;24/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;29/06/2025-00:00:00;
TRONXT;veh0000000000135;GER01PLANT;24/06/2025-00:00:00;
TROPTH;veh0000000000135;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000135;2;GER01PLANT->FRA01DEAL-278;
TRO;136;veh0000000000136;Standard;GER01PLANT;FRA01DEAL;25/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;06/07/2025-00:00:00;
TRONXT;veh0000000000136;GER01PLANT;25/06/2025-00:00:00;
TROPTH;veh0000000000136;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000136;2;GER01PLANT->FRA01DEAL-278;
TRO;137;veh0000000000137;Standard;GER01PLANT;FRA01DEAL;25/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;04/07/2025-00:00:00;
TRONXT;veh0000000000137;GER01PLANT;25/06/2025-00:00:00;
TROPTH;veh0000000000137;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000137;2;GER01PLANT->FRA01DEAL-278;
TRO;138;veh0000000000138;Standard;GER01PLANT;FRA01DEAL;25/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;06/07/2025-00:00:00;
TRONXT;veh0000000000138;GER01PLANT;25/06/2025-00:00:00;
TROPTH;veh0000000000138;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000138;2;GER01PLANT->FRA01DEAL-278;
TRO;139;veh0000000000139;Standard;GER01PLANT;FRA01DEAL;25/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;06/07/2025-00:00:00;
TRONXT;veh0000000000139;GER01PLANT;25/06/2025-00:00:00;
TROPTH;veh0000000000139;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000139;2;GER01PLANT->FRA01DEAL-278;
TRO;140;veh0000000000140;Standard;GER01PLANT;FRA01DEAL;25/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;07/07/2025-00:00:00;
TRONXT;veh0000000000140;GER01PLANT;25/06/2025-00:00:00;
TROPTH;veh0000000000140;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000140;2;GER01PLANT->FRA01DEAL-278;
TRO;141;veh0000000000141;Standard;GER01PLANT;FRA01DEAL;26/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;01/07/2025-00:00:00;
TRONXT;veh0000000000141;GER01PLANT;26/06/2025-00:00:00;
TROPTH;veh0000000000141;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000141;2;GER01PLANT->FRA01DEAL-278;
TRO;142;veh0000000000142;Standard;GER01PLANT;FRA01DEAL;26/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;06/07/2025-00:00:00;
TRONXT;veh0000000000142;GER01PLANT;26/06/2025-00:00:00;
TROPTH;veh0000000000142;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000142;2;GER01PLANT->FRA01DEAL-278;
TRO;143;veh0000000000143;Standard;GER01PLANT;FRA01DEAL;26/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;05/07/2025-00:00:00;
TRONXT;veh0000000000143;GER01PLANT;26/06/2025-00:00:00;
TROPTH;veh0000000000143;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000143;2;GER01PLANT->FRA01DEAL-278;
TRO;144;veh0000000000144;Standard;GER01PLANT;FRA01DEAL;26/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;04/07/2025-00:00:00;
TRONXT;veh0000000000144;GER01PLANT;26/06/2025-00:00:00;
TROPTH;veh0000000000144;1;GER01PLANT->FRA01DEAL-536;
TROPTH;veh0000000000144;2;GER01PLANT->FRA01DEAL-278;
TRO;145;veh0000000000145;Standard;GER01PLANT;FRA01DEAL;26/06/2025-00:00:00;GER01PLANT->FRA01DEAL-412;09/07/2025-00:00:00;
TRONXT;veh0000000000145;GER01PLANT;26/06/2025-00:00:00;
TROPTH;veh0000000000145;1;GER01PLANT->FRA01DEAL-536;
